"year","quarter","category_code","category_name","unit_standardized","avg_price","industry_branch_code","industry_branch_name","avg_wage_yearly_branch","avg_price_yearly","price_yoy_percent","avg_food_price_yearly","food_yoy_percent","avg_wage_yearly_overall","wage_yoy_percent","is_bread","is_milk"
2006,1,111101,Rýže loupaná dlouhozrnná,"1 kg",21.29,B,Těžba a dobývání,24017.50,21.29,,45.51,,20342.38,,false,false
2006,1,117401,Konzumní brambory,"1 kg",8.53,F,Stavebnictví,17643.75,12.11,,45.51,,20342.38,,false,false
2006,2,112401,Kuřata kuchaná celá,"1 kg",47.13,F,Stavebnictví,17643.75,47.42,,45.51,,20342.38,,false,false
2006,2,114401,Jogurt bílý netučný,"150 g",5.75,F,Stavebnictví,17643.75,5.83,,45.51,,20342.38,,false,false
2006,2,114501,Eidamská cihla,"1 kg",110.66,N,Administrativní a podpůrné činnosti,13414.00,110.91,,45.51,,20342.38,,false,false
2006,2,117103,Papriky,"1 kg",39.26,P,Vzdělávání,18197.25,35.21,,45.51,,20342.38,,false,false
2006,3,111101,Rýže loupaná dlouhozrnná,"1 kg",21.12,B,Těžba a dobývání,24017.50,21.29,,45.51,,20342.38,,false,false
2006,3,117401,Konzumní brambory,"1 kg",12.06,F,Stavebnictví,17643.75,12.11,,45.51,,20342.38,,false,false
2006,4,112401,Kuřata kuchaná celá,"1 kg",45.58,F,Stavebnictví,17643.75,47.42,,45.51,,20342.38,,false,false
2006,4,114401,Jogurt bílý netučný,"150 g",5.84,F,Stavebnictví,17643.75,5.83,,45.51,,20342.38,,false,false
2006,4,114501,Eidamská cihla,"1 kg",109.65,N,Administrativní a podpůrné činnosti,13414.00,110.91,,45.51,,20342.38,,false,false
2006,4,117103,Papriky,"1 kg",32.24,P,Vzdělávání,18197.25,35.21,,45.51,,20342.38,,false,false
2007,1,111201,Pšeničná mouka hladká,"1 kg",8.21,P,Vzdělávání,19321.00,9.10,22.77,48.60,6.80,21724.61,6.79,false,false
