"country","year","gdp","population","gini"
Albania,2006,9767379279.88863,2992547.0,
Albania,2007,10351466806.2388,2970017.0,
Albania,2008,11127823665.7504,2947314.0,30.0
Albania,2009,11500613161.6647,2927519.0,
Albania,2010,11926928505.5231,2913021.0,
Albania,2011,12230507222.1843,2905195.0,
Albania,2012,12403877841.0321,2900401.0,29.0
Albania,2013,12528163103.1195,2895092.0,
Albania,2014,12750473701.7819,2889104.0,34.6
Albania,2015,13033375121.5884,2880703.0,32.9
Albania,2016,13465406059.6498,2876101.0,33.7
Albania,2017,13977387390.5945,2873457.0,33.2
Albania,2018,14546448944.4056,2866376.0,
Andorra,2006,3875142516.24022,80995.0,
Andorra,2007,3935330770.25056,82682.0,
Andorra,2008,3716558398.51518,83860.0,
Andorra,2009,3519475009.94299,84461.0,
Andorra,2010,3449966856.68832,84454.0,
Andorra,2011,3449688452.87021,83748.0,
Andorra,2012,3278085642.31738,82427.0,
Andorra,2013,3161792390.29564,80770.0,
Andorra,2014,3240978390.56079,79213.0,
Andorra,2015,3287458570.8604,77993.0,
Andorra,2016,3409412700.51704,77295.0,
Andorra,2017,3421211719.47501,76997.0,
Andorra,2018,3475566750.62972,77008.0,
Armenia,2006,8678449098.31555,2958301.0,29.7
Armenia,2007,9867396624.91901,2932615.0,31.2
Armenia,2008,10548246992.0808,2907615.0,29.2
Armenia,2009,9060944166.1236,2888094.0,28.0
Armenia,2010,9260284937.79781,2877314.0,30.0
Armenia,2011,9695518329.75153,2876536.0,29.4
Armenia,2012,10393595649.5872,2884239.0,29.6
Armenia,2013,10736584306.0236,2897593.0,30.6
Armenia,2014,11123101341.1038,2912403.0,31.5
Armenia,2015,11479040583.9041,2925559.0,32.4
Armenia,2016,11501998665.0519,2936147.0,32.5
Armenia,2017,12364648565.1196,2944789.0,33.6
Armenia,2018,13007610290.463,2951741.0,34.4
Austria,2006,380329113681.259,8268641.0,29.6
Austria,2007,394505559258.526,8295487.0,30.6
Austria,2008,400267011848.042,8321496.0,30.4
Austria,2009,385198647266.611,8343323.0,31.5
Austria,2010,392275107258.667,8363404.0,30.3
Austria,2011,403740513438.199,8391643.0,30.8
Austria,2012,406487747903.707,8429991.0,30.5
Austria,2013,406591421433.927,8479823.0,30.8
Austria,2014,409280100109.633,8546356.0,30.5
Austria,2015,413432253216.039,8642699.0,30.5
Austria,2016,421657228102.472,8736668.0,30.8
Austria,2017,431775262676.529,8797566.0,29.7
Austria,2018,442915585749.024,8840521.0,30.8
Azerbaijan,2006,33272299375.2932,8484550.0,
Azerbaijan,2007,41744496802.1552,8581300.0,
Azerbaijan,2008,46165839004.8155,8763400.0,
Azerbaijan,2009,50491150982.6593,8947243.0,
Azerbaijan,2010,52909294791.9262,9054332.0,
Azerbaijan,2011,52077032843.517,9173082.0,
Azerbaijan,2012,53224258121.8798,9295784.0,
Azerbaijan,2013,56334372810.3796,9416801.0,
Azerbaijan,2014,57910375018.4784,9535079.0,
Azerbaijan,2015,58518171256.2056,9649341.0,
Azerbaijan,2016,56725409466.5767,9757812.0,
Azerbaijan,2017,56812548003.9101,9854033.0,
Azerbaijan,2018,57664964443.9475,9939771.0,
Belgium,2006,458677622724.361,10547958,28.1
Belgium,2007,475542653709.135,10625700,29.2
Belgium,2008,477667990477.055,10709973,28.4
Belgium,2009,468015547701.557,10796493,28.6
Belgium,2010,481420882905.001,10895586,28.4
Belgium,2011,489578626676.653,11038264,28.1
Belgium,2012,493197676499.208,11106932,27.5
Belgium,2013,495462648324.133,11159407,27.7
Belgium,2014,503283690440.236,11209057,28.1
Belgium,2015,513558020680.56,11274196,27.7
Belgium,2016,520063190330.958,11331422,27.6
Belgium,2017,528496260419.776,11375158,27.4
Belgium,2018,537945351170.51,11427054,27.2
Bosnia and Herzegovina,2006,15729153560.7731,3765422.0,
Bosnia and Herzegovina,2007,16650743291.5849,3762791.0,33.1
Bosnia and Herzegovina,2008,17556851230.7796,3754261.0,
Bosnia and Herzegovina,2009,17029363372.8317,3735945.0,
Bosnia and Herzegovina,2010,17176781336.7644,3705478.0,
Bosnia and Herzegovina,2011,17341594485.6047,3661173.0,33.0
Bosnia and Herzegovina,2012,17199074936.9112,3604972.0,
Bosnia and Herzegovina,2013,17603228545.3329,3542598.0,
Bosnia and Herzegovina,2014,17806343590.1312,3482106.0,
Bosnia and Herzegovina,2015,18356410773.0628,3429362.0,
Bosnia and Herzegovina,2016,18934602269.0509,3386263.0,
Bosnia and Herzegovina,2017,19535100848.8297,3351534.0,
Bosnia and Herzegovina,2018,20265727508.4724,3323929.0,
Bulgaria,2006,45869280338.7161,7601022.0,35.7
Bulgaria,2007,48876966228.4417,7545338.0,36.1
Bulgaria,2008,51851436378.6577,7492561.0,33.6
Bulgaria,2009,50101534229.7147,7444443.0,33.8
Bulgaria,2010,50381825504.2642,7395599.0,35.7
